Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609082_1	(1, 0.0)	(2, 0.0019898517560441747)	(3, 0.020893443438463836)	(4, 0.0)	(5, 0.0024873146950552183)	(6, 0.07660929260770073)	(7, 0.0)	(8, 0.011441647597254006)	(9, 0.0)	(10, 0.005074121977912646)	(15, 0.004576659038901602)	(20, 0.0006964481146154611)	(25, 0.007760421848572281)	(30, 0.00467615162670381)	(35, 0.011245090224434089)	(40, 0.009760927009182244)	(45, 0.004885178368828973)	(50, 0.004590172440804238)	(55, 0.006991463423160321)	(60, 0.012600680436743585)	(65, 0.007810685017103397)	(70, 0.005415982564547981)	(75, 0.013576831288260264)	(80, 0.006381588610383756)	(85, 0.014118311449950587)	(90, 0.010166523505417305)	(95, 0.0029552043787685455)	(100, 0.010745478302730212)	(105, 0.00339655304648895)	(110, 0.00369006578380911)	(115, 0.01475228174342237)	(120, 0.002343393913971666)	(125, 0.011514643387895951)	(130, 0.004037294816725167)	(135, 0.0017512565265578053)	(140, 0.0010226216696088346)	(145, 0.001711068904744794)	(150, 0.0)
SRR23609082_2	(1, 0.0)	(2, 0.010944184658242961)	(3, 0.008954332902198785)	(4, 0.0059695552681325245)	(5, 0.0)	(6, 0.0044771664510993925)	(7, 0.007461944085165656)	(8, 0.011441647597254006)	(9, 0.010446721719231918)	(10, 0.009750273604616456)	(15, 0.005273107153517063)	(20, 0.005571584916923689)	(25, 0.011441647597254006)	(30, 0.008058899611978908)	(35, 0.013037005190917486)	(40, 0.010759715624701119)	(45, 0.007380485995029142)	(50, 0.013080836574418477)	(55, 0.00619833884518949)	(60, 0.008908935662469456)	(65, 0.00982258211628534)	(70, 0.0027098693441513994)	(75, 0.006933342443812294)	(80, 0.0024143849052655725)	(85, 0.007452915701480512)	(90, 0.010386613973928592)	(95, 0.0026251701312181193)	(100, 0.006066605259140099)	(105, 0.004356375860004316)	(110, 0.0037699937030915985)	(115, 0.0035243642409711487)	(120, 0.004663452417417147)	(125, 0.014035423668511581)	(130, 0.00670534908047313)	(135, 0.007574783774354077)	(140, 0.0026098014652848954)	(145, 0.010067068776495113)	(150, 0.0)
SRR23609083_1	(1, 0.0)	(2, 0.0007183908045977011)	(3, 0.020114942528735632)	(4, 0.0)	(5, 0.0028735632183908046)	(6, 0.07686781609195402)	(7, 0.0)	(8, 0.015804597701149423)	(9, 0.0)	(10, 0.004166666666666667)	(15, 0.004310344827586207)	(20, 0.00028735632183908046)	(25, 0.009626436781609196)	(30, 0.0035919540229885057)	(35, 0.009772150807280252)	(40, 0.009062283781820482)	(45, 0.0054722714246626634)	(50, 0.005189780169561651)	(55, 0.007504246393271578)	(60, 0.0109849130891021)	(65, 0.006513347296020056)	(70, 0.007104661818097459)	(75, 0.012208557035762352)	(80, 0.008317561582788192)	(85, 0.011582100230615741)	(90, 0.010459804151216357)	(95, 0.0023687911762528685)	(100, 0.00982049328635368)	(105, 0.0019459679543984863)	(110, 0.0028694967959802882)	(115, 0.013168593211437075)	(120, 0.0023354663926386096)	(125, 0.011725354176998975)	(130, 0.004183514699422514)	(135, 0.0016370336295818526)	(140, 0.0006662735652631614)	(145, 0.0022106211845528594)	(150, 0.0)
SRR23609083_2	(1, 0.0)	(2, 0.007902298850574712)	(3, 0.007902298850574712)	(4, 0.0028735632183908046)	(5, 0.0)	(6, 0.0028735632183908046)	(7, 0.004310344827586207)	(8, 0.007902298850574712)	(9, 0.010775862068965518)	(10, 0.007902298850574712)	(15, 0.003160919540229885)	(20, 0.003735632183908046)	(25, 0.009195402298850575)	(30, 0.00603448275862069)	(35, 0.010491203915949647)	(40, 0.009064056985582394)	(45, 0.008211422520906715)	(50, 0.011972731023221328)	(55, 0.005488561404725074)	(60, 0.009111235165318301)	(65, 0.009558180354174028)	(70, 0.0044956725526138705)	(75, 0.006535387671935157)	(80, 0.0014543656420660717)	(85, 0.007572778772918579)	(90, 0.010354488087234374)	(95, 0.0029212134136277525)	(100, 0.006289482960620524)	(105, 0.0038120819538972677)	(110, 0.0025089547546906384)	(115, 0.0027071129392478737)	(120, 0.002622352002937034)	(125, 0.013651075339649864)	(130, 0.005557571537387745)	(135, 0.007398962127403402)	(140, 0.002610143714512921)	(145, 0.011518767491878369)	(150, 0.0)
SRR23609084_1	(1, 0.0)	(2, 0.0022095174966166764)	(3, 0.01325710497970006)	(4, 0.0)	(5, 0.0022095174966166764)	(6, 0.075123594884967)	(7, 0.0)	(8, 0.014361863728008396)	(9, 0.0)	(10, 0.003314276244925015)	(15, 0.004971414367387522)	(20, 0.00011047587483083382)	(25, 0.0070704559891733645)	(30, 0.0034247521197558486)	(35, 0.010718528136136357)	(40, 0.010285938016716309)	(45, 0.004428320437695192)	(50, 0.004543228262868971)	(55, 0.006989073748040564)	(60, 0.01022047338566512)	(65, 0.007674793420143774)	(70, 0.005902477704225729)	(75, 0.012049671423311651)	(80, 0.008284225044331798)	(85, 0.010445776312124289)	(90, 0.009469739672347008)	(95, 0.0019245421004905317)	(100, 0.009437287518903001)	(105, 0.002514699561985058)	(110, 0.002649861170316946)	(115, 0.014569392852605532)	(120, 0.001417427746620616)	(125, 0.012813158994538242)	(130, 0.0046134029066866415)	(135, 0.0018461947464682295)	(140, 0.0003742328227134375)	(145, 0.002921963254406448)	(150, 0.0)
SRR23609084_2	(1, 0.0)	(2, 0.007733311238158367)	(3, 0.005523793741541691)	(4, 0.003314276244925015)	(5, 0.0)	(6, 0.003314276244925015)	(7, 0.007733311238158367)	(8, 0.012704725605545888)	(9, 0.007733311238158367)	(10, 0.009500925235451709)	(15, 0.004860938492556688)	(20, 0.004419034993233353)	(25, 0.010053304609605877)	(30, 0.007291407738835031)	(35, 0.012596991308075999)	(40, 0.00895838333254072)	(45, 0.006974820896563406)	(50, 0.012743836692719501)	(55, 0.005546662406829939)	(60, 0.009661428025692736)	(65, 0.01022864353733177)	(70, 0.004452622427636537)	(75, 0.008357188463514187)	(80, 0.00211895123066457)	(85, 0.007926212543063894)	(90, 0.010617040013947438)	(95, 0.003915619518132674)	(100, 0.006831955182374003)	(105, 0.0034786706989322724)	(110, 0.003610169395917124)	(115, 0.0028640329020099783)	(120, 0.0045552233227434125)	(125, 0.01584837041812291)	(130, 0.006703564711947824)	(135, 0.008613135405978266)	(140, 0.002813543888726897)	(145, 0.008935035720433243)	(150, 0.0)
SRR23609085_1	(1, 0.0)	(2, 0.0007316038218983656)	(3, 0.025606133766442798)	(4, 0.0)	(5, 0.0014632076437967312)	(6, 0.0702339669022431)	(7, 0.0)	(8, 0.01316886879417058)	(9, 0.0)	(10, 0.005267547517668232)	(15, 0.003950660638251174)	(20, 0.0005852830575186924)	(25, 0.006877075925844636)	(30, 0.002633773758834116)	(35, 0.011123210041331507)	(40, 0.008351734010458717)	(45, 0.0043999430940693165)	(50, 0.004256943221184898)	(55, 0.006612502920522123)	(60, 0.008681462429132045)	(65, 0.007366829817391022)	(70, 0.004719889318595479)	(75, 0.013446659613327265)	(80, 0.006370795090043039)	(85, 0.012180575547048959)	(90, 0.011626451070527842)	(95, 0.001047418114348132)	(100, 0.010818868105976823)	(105, 0.002566711860926492)	(110, 0.0012166375180594632)	(115, 0.016742057122670125)	(120, 0.0010878940702002502)	(125, 0.011792879302238917)	(130, 0.003342847182536966)	(135, 0.0022577440621331167)	(140, 0.0008174823505560514)	(145, 0.0029969381282123433)	(150, 0.0)
SRR23609085_2	(1, 0.0)	(2, 0.0051212267532885596)	(3, 0.008779245862780387)	(4, 0.0021948114656950967)	(5, 0.0)	(6, 0.0014632076437967312)	(7, 0.010242453506577119)	(8, 0.005852830575186925)	(9, 0.008779245862780387)	(10, 0.013022548029790906)	(15, 0.003950660638251174)	(20, 0.004535943695769867)	(25, 0.01170566115037385)	(30, 0.005560189046427579)	(35, 0.012587103487944921)	(40, 0.011722865595880585)	(45, 0.006161583116088627)	(50, 0.011600093388093606)	(55, 0.004703800229604248)	(60, 0.005445548926049446)	(65, 0.009872672001838969)	(70, 0.004868391159001655)	(75, 0.007828147062820142)	(80, 0.001034976284257715)	(85, 0.006808379635248461)	(90, 0.009780240949572486)	(95, 0.002077068129318262)	(100, 0.005346854935369891)	(105, 0.003569558802532007)	(110, 0.0028361637750235476)	(115, 0.0022636794147030508)	(120, 0.0024469022217872174)	(125, 0.010869548339210654)	(130, 0.006330145577522919)	(135, 0.007756635559326143)	(140, 0.001654049029321327)	(145, 0.008679285099199123)	(150, 0.0)
SRR23609086_1	(1, 0.0)	(2, 0.002065059706038751)	(3, 0.021166861986897198)	(4, 0.0)	(5, 0.003613854485567814)	(6, 0.06246805610767221)	(7, 0.0)	(8, 0.013939153015761568)	(9, 0.0)	(10, 0.005162649265096877)	(15, 0.0047496373238891275)	(20, 0.0002065059706038751)	(25, 0.005678914191606565)	(30, 0.003613854485567814)	(35, 0.010636617018793766)	(40, 0.009921362864545494)	(45, 0.005688588071754815)	(50, 0.005071744483442824)	(55, 0.008080330920629396)	(60, 0.01223817564063738)	(65, 0.007579281359536189)	(70, 0.006653076372119036)	(75, 0.011349733177144345)	(80, 0.009503757639559025)	(85, 0.014873268233108104)	(90, 0.0101940548692376)	(95, 0.003481236661852714)	(100, 0.010066662498715176)	(105, 0.0020234356446293227)	(110, 0.0021454968702564405)	(115, 0.01572407181888472)	(120, 0.003293149590222419)	(125, 0.013229880853249493)	(130, 0.005298825577318321)	(135, 0.0015989839599066195)	(140, 0.0009259913026266901)	(145, 0.0037686740744666443)	(150, 0.0)
SRR23609086_2	(1, 0.0)	(2, 0.007743973897645315)	(3, 0.0067114440446259405)	(4, 0.003613854485567814)	(5, 0.0)	(6, 0.0046463843385871895)	(7, 0.003613854485567814)	(8, 0.010325298530193754)	(9, 0.010325298530193754)	(10, 0.011048069427307317)	(15, 0.004130119412077502)	(20, 0.004956143294493002)	(25, 0.013113129133346068)	(30, 0.005988673147512377)	(35, 0.00970868772625632)	(40, 0.011891122811516398)	(45, 0.0051759298557985944)	(50, 0.012847384469377119)	(55, 0.00570440006305955)	(60, 0.009241395637645916)	(65, 0.010499626275678603)	(70, 0.0045788927612908726)	(75, 0.007708132600713523)	(80, 0.0015639238223132308)	(85, 0.007304830580107902)	(90, 0.00950464108490778)	(95, 0.003031791998160016)	(100, 0.006174751754048126)	(105, 0.002830221312824362)	(110, 0.0037914013124567543)	(115, 0.0017085510846095852)	(120, 0.0031484300190860004)	(125, 0.013481184355196057)	(130, 0.00587457776472316)	(135, 0.00833465491634669)	(140, 0.0017802379347341035)	(145, 0.008561392522724382)	(150, 0.0)
