Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR23609077_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007745873385953633)	(6, 0.0007745873385953633)	(7, 0.0007745873385953633)	(8, 0.0007745873385953633)	(9, 0.0007745873385953633)	(10, 0.0007745873385953633)	(12, 0.001161881007893045)	(14, 0.0015491746771907266)	(16, 0.0015491746771907266)	(18, 0.0015491746771907266)	(20, 0.0015491746771907266)	(22, 0.0019364683464884083)	(24, 0.00232376201578609)	(26, 0.00232376201578609)	(28, 0.00232376201578609)	(30, 0.00232376201578609)	(32, 0.00232376201578609)	(34, 0.00232376201578609)	(36, 0.00232376201578609)	(38, 0.00232376201578609)	(40, 0.00232376201578609)	(42, 0.0030983493543814532)	(44, 0.0030983493543814532)	(46, 0.0030983493543814532)	(48, 0.0030983493543814532)	(50, 0.0030983493543814532)	(52, 0.003485643023679135)	(54, 0.004260230362274498)	(56, 0.00464752403157218)	(58, 0.0061966987087629065)	(60, 0.007745873385953633)	(62, 0.008133167055251314)	(64, 0.008520460724548996)	(66, 0.008520460724548996)	(68, 0.008520460724548996)	(70, 0.008520460724548996)	(72, 0.008520460724548996)	(74, 0.00929504806314436)	(76, 0.010456929071037405)	(78, 0.012006103748228131)	(80, 0.017040921449097992)	(82, 0.019364683464884083)	(84, 0.021688445480670174)	(86, 0.027110556850837714)	(88, 0.17970426255412428)	(90, 0.18047884989271964)	(92, 0.181253437231315)	(94, 0.1859009612628872)	(96, 0.1905484852944594)	(98, 0.1944214219874362)	(100, 0.19597059666462693)	(102, 0.19906894601900837)	(104, 0.20332917638128287)	(106, 0.206814819404962)	(108, 0.20991316875934346)	(110, 0.2133988117830226)	(112, 0.22114468516897623)	(114, 0.22656679653914377)	(116, 0.2285032648856322)	(118, 0.2831116722566053)	(120, 0.34352948466704364)	(122, 0.9542916011494875)	(124, 1.548787383521429)	(126, 1.5576951379152757)	(128, 1.569313947994206)	(130, 1.5712504163406944)	(132, 1.5739614720257782)	(134, 1.5820946390810295)	(136, 1.5882913377897925)	(138, 1.5968117985143415)
SRR23609077_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007745873385953633)	(6, 0.0007745873385953633)	(7, 0.0007745873385953633)	(8, 0.0007745873385953633)	(9, 0.0007745873385953633)	(10, 0.0007745873385953633)	(12, 0.001161881007893045)	(14, 0.0015491746771907266)	(16, 0.0015491746771907266)	(18, 0.0015491746771907266)	(20, 0.0015491746771907266)	(22, 0.0019364683464884083)	(24, 0.00232376201578609)	(26, 0.00232376201578609)	(28, 0.00232376201578609)	(30, 0.00232376201578609)	(32, 0.00232376201578609)	(34, 0.00232376201578609)	(36, 0.00232376201578609)	(38, 0.00232376201578609)	(40, 0.00232376201578609)	(42, 0.0030983493543814532)	(44, 0.0030983493543814532)	(46, 0.0030983493543814532)	(48, 0.0030983493543814532)	(50, 0.0030983493543814532)	(52, 0.003485643023679135)	(54, 0.004260230362274498)	(56, 0.00464752403157218)	(58, 0.0061966987087629065)	(60, 0.007745873385953633)	(62, 0.008133167055251314)	(64, 0.008520460724548996)	(66, 0.008520460724548996)	(68, 0.008520460724548996)	(70, 0.008520460724548996)	(72, 0.008520460724548996)	(74, 0.00929504806314436)	(76, 0.010456929071037405)	(78, 0.012006103748228131)	(80, 0.017040921449097992)	(82, 0.019364683464884083)	(84, 0.021688445480670174)	(86, 0.027110556850837714)	(88, 0.17970426255412428)	(90, 0.18047884989271964)	(92, 0.181253437231315)	(94, 0.1859009612628872)	(96, 0.1905484852944594)	(98, 0.1944214219874362)	(100, 0.19597059666462693)	(102, 0.19906894601900837)	(104, 0.20332917638128287)	(106, 0.206814819404962)	(108, 0.20991316875934346)	(110, 0.2137861054523203)	(112, 0.2219192725075716)	(114, 0.22734138387773914)	(116, 0.22927785222422753)	(118, 0.2827243785873076)	(120, 0.3419803099898529)	(122, 0.9612628871968458)	(124, 1.563504542954741)	(126, 1.5724122973485875)	(128, 1.584031107427518)	(130, 1.5859675757740064)	(132, 1.5886786314590902)	(134, 1.5968117985143415)	(136, 1.6030084972231045)	(138, 1.6115289579476535)
SRR23609078_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0003766478342749529)	(52, 0.0007532956685499058)	(54, 0.0007532956685499058)	(56, 0.0007532956685499058)	(58, 0.0026365348399246705)	(60, 0.003766478342749529)	(62, 0.003766478342749529)	(64, 0.003766478342749529)	(66, 0.003766478342749529)	(68, 0.003766478342749529)	(70, 0.003766478342749529)	(72, 0.004143126177024482)	(74, 0.005273069679849341)	(76, 0.007156308851224105)	(78, 0.009792843691148776)	(80, 0.013559322033898305)	(82, 0.013559322033898305)	(84, 0.015065913370998116)	(86, 0.01544256120527307)	(88, 0.05499058380414312)	(90, 0.05499058380414312)	(92, 0.055743879472693034)	(94, 0.0647834274952919)	(96, 0.06779661016949153)	(98, 0.07005649717514124)	(100, 0.07043314500941619)	(102, 0.07193973634651601)	(104, 0.07419962335216573)	(106, 0.07758945386064031)	(108, 0.07909604519774012)	(110, 0.07984934086629003)	(112, 0.08248587570621468)	(114, 0.08549905838041431)	(116, 0.08813559322033898)	(118, 0.10998116760828625)	(120, 0.1337099811676083)	(122, 0.43578154425612053)	(124, 0.7337099811676082)	(126, 0.7344632768361582)	(128, 0.7389830508474576)	(130, 0.7389830508474576)	(132, 0.7427495291902072)	(134, 0.752165725047081)	(136, 0.7581920903954802)	(138, 0.7679849340866289)
SRR23609078_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0003766478342749529)	(52, 0.0007532956685499058)	(54, 0.0007532956685499058)	(56, 0.0007532956685499058)	(58, 0.0026365348399246705)	(60, 0.003766478342749529)	(62, 0.003766478342749529)	(64, 0.003766478342749529)	(66, 0.003766478342749529)	(68, 0.003766478342749529)	(70, 0.003766478342749529)	(72, 0.004143126177024482)	(74, 0.005273069679849341)	(76, 0.007156308851224105)	(78, 0.009792843691148776)	(80, 0.013559322033898305)	(82, 0.013559322033898305)	(84, 0.015065913370998116)	(86, 0.01544256120527307)	(88, 0.055743879472693034)	(90, 0.055743879472693034)	(92, 0.05649717514124294)	(94, 0.06516007532956686)	(96, 0.06779661016949153)	(98, 0.07005649717514124)	(100, 0.07043314500941619)	(102, 0.07193973634651601)	(104, 0.07419962335216573)	(106, 0.07758945386064031)	(108, 0.07909604519774012)	(110, 0.08060263653483993)	(112, 0.0832391713747646)	(114, 0.08625235404896422)	(116, 0.08851224105461394)	(118, 0.1111111111111111)	(120, 0.13634651600753295)	(122, 0.4421845574387947)	(124, 0.7427495291902071)	(126, 0.7435028248587571)	(128, 0.7487758945386064)	(130, 0.7487758945386064)	(132, 0.752542372881356)	(134, 0.7619585687382298)	(136, 0.7676082862523541)	(138, 0.7770244821092278)
SRR23609079_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006657257742390755)	(36, 0.002662903096956302)	(38, 0.002662903096956302)	(40, 0.002662903096956302)	(42, 0.002662903096956302)	(44, 0.002662903096956302)	(46, 0.003994354645434453)	(48, 0.003994354645434453)	(50, 0.003994354645434453)	(52, 0.003994354645434453)	(54, 0.004660080419673528)	(56, 0.005325806193912604)	(58, 0.00732298351662983)	(60, 0.012648789710542434)	(62, 0.013314515484781509)	(64, 0.01464596703325966)	(66, 0.01464596703325966)	(68, 0.01464596703325966)	(70, 0.01464596703325966)	(72, 0.01464596703325966)	(74, 0.01464596703325966)	(76, 0.01730887013021596)	(78, 0.018640321678694113)	(80, 0.021303224775650415)	(82, 0.028626208292280242)	(84, 0.030623385614997473)	(86, 0.037280643357388225)	(88, 0.21502942507922135)	(90, 0.21569515085346044)	(92, 0.21968950549889488)	(94, 0.22900966633824196)	(96, 0.23966127872606716)	(98, 0.24898143956541421)	(100, 0.24898143956541421)	(102, 0.2589673261790003)	(104, 0.26495885814715203)	(106, 0.26828748701834737)	(108, 0.27161611588954276)	(110, 0.27294756743802095)	(112, 0.28359917982584615)	(114, 0.291587889116715)	(116, 0.2955822437621495)	(118, 0.34617740260431923)	(120, 0.3947753841237718)	(122, 1.006577370649482)	(124, 1.6117220994328016)	(126, 1.6177136314009533)	(128, 1.6276995180145395)	(130, 1.6310281468857348)	(132, 1.6356882273054083)	(134, 1.6416797592735601)	(136, 1.650999920112907)	(138, 1.658988629403776)
SRR23609079_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006657257742390755)	(36, 0.002662903096956302)	(38, 0.002662903096956302)	(40, 0.002662903096956302)	(42, 0.002662903096956302)	(44, 0.002662903096956302)	(46, 0.003994354645434453)	(48, 0.003994354645434453)	(50, 0.003994354645434453)	(52, 0.003994354645434453)	(54, 0.004660080419673528)	(56, 0.005325806193912604)	(58, 0.00732298351662983)	(60, 0.012648789710542434)	(62, 0.013314515484781509)	(64, 0.01464596703325966)	(66, 0.01464596703325966)	(68, 0.01464596703325966)	(70, 0.01464596703325966)	(72, 0.01464596703325966)	(74, 0.01464596703325966)	(76, 0.01730887013021596)	(78, 0.018640321678694113)	(80, 0.021303224775650415)	(82, 0.028626208292280242)	(84, 0.030623385614997473)	(86, 0.037280643357388225)	(88, 0.20970361888530875)	(90, 0.21036934465954785)	(92, 0.21436369930498228)	(94, 0.22368386014432934)	(96, 0.23500119830639363)	(98, 0.24498708491997975)	(100, 0.24498708491997975)	(102, 0.25630442308204404)	(104, 0.2636274065986739)	(106, 0.26695603546986924)	(108, 0.27028466434106463)	(110, 0.2716161158895428)	(112, 0.282267728277368)	(114, 0.2902564375682369)	(116, 0.29425079221367134)	(118, 0.3435144995073629)	(120, 0.3921124810268154)	(122, 1.01523180571459)	(124, 1.631693872659974)	(126, 1.6376854046281255)	(128, 1.650334194338668)	(130, 1.6536628232098634)	(132, 1.6603200809522543)	(134, 1.667643064468884)	(136, 1.678294676856709)	(138, 1.6869491119218172)
SRR23609080_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0006894554680713172)	(44, 0.0006894554680713172)	(46, 0.0006894554680713172)	(48, 0.0010341832021069758)	(50, 0.0013789109361426344)	(52, 0.0013789109361426344)	(54, 0.0013789109361426344)	(56, 0.0013789109361426344)	(58, 0.001723638670178293)	(60, 0.0024130941382496103)	(62, 0.002757821872285269)	(64, 0.002757821872285269)	(66, 0.0034472773403565866)	(68, 0.003792005074392245)	(70, 0.0044814605424635615)	(72, 0.00517091601053488)	(74, 0.005515643744570538)	(76, 0.005860371478606197)	(78, 0.006205099212641856)	(80, 0.009307648818962783)	(82, 0.011720742957212394)	(84, 0.011720742957212394)	(86, 0.011720742957212394)	(88, 0.05101970463727748)	(90, 0.051709160105348796)	(92, 0.05239861557342011)	(94, 0.0558458929137767)	(96, 0.05756953158395499)	(98, 0.05929317025413328)	(100, 0.05929317025413328)	(102, 0.06136153665834724)	(104, 0.06446408626466817)	(106, 0.06549826946677514)	(108, 0.06618772493484645)	(110, 0.06653245266888211)	(112, 0.06791136360502475)	(114, 0.06860081907309606)	(116, 0.06929027454116739)	(118, 0.0892844831152356)	(120, 0.10789978075316115)	(122, 0.2781952813667765)	(124, 0.4450435046400353)	(126, 0.4460776878421423)	(128, 0.4491802374484632)	(130, 0.45021442065057016)	(132, 0.4512486038526772)	(134, 0.45366169799092676)	(136, 0.45435115345899807)	(138, 0.45573006439514074)
SRR23609080_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0006894554680713172)	(44, 0.0006894554680713172)	(46, 0.0006894554680713172)	(48, 0.0010341832021069758)	(50, 0.0013789109361426344)	(52, 0.0013789109361426344)	(54, 0.0013789109361426344)	(56, 0.0013789109361426344)	(58, 0.001723638670178293)	(60, 0.0024130941382496103)	(62, 0.002757821872285269)	(64, 0.002757821872285269)	(66, 0.0034472773403565866)	(68, 0.003792005074392245)	(70, 0.0044814605424635615)	(72, 0.00517091601053488)	(74, 0.005515643744570538)	(76, 0.005860371478606197)	(78, 0.006205099212641856)	(80, 0.009307648818962783)	(82, 0.011720742957212394)	(84, 0.011720742957212394)	(86, 0.011720742957212394)	(88, 0.05101970463727748)	(90, 0.051709160105348796)	(92, 0.05239861557342011)	(94, 0.0558458929137767)	(96, 0.05791425931799065)	(98, 0.0599826257222046)	(100, 0.0599826257222046)	(102, 0.062050992126418555)	(104, 0.06515354173273949)	(106, 0.06618772493484645)	(108, 0.06687718040291778)	(110, 0.06722190813695343)	(112, 0.06860081907309606)	(114, 0.06929027454116739)	(116, 0.06997973000923871)	(118, 0.09031866631734256)	(120, 0.10927869168930379)	(122, 0.2840556528453827)	(124, 0.4546958811930337)	(126, 0.45573006439514074)	(128, 0.45883261400146164)	(130, 0.4598667972035686)	(132, 0.4609009804056756)	(134, 0.4633140745439252)	(136, 0.4640035300119965)	(138, 0.4653824409481392)
SRR23609081_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0005049484952534841)	(16, 0.0010098969905069683)	(18, 0.0030296909715209048)	(20, 0.0030296909715209048)	(22, 0.005049484952534841)	(24, 0.006564330438295294)	(26, 0.011108866895576651)	(28, 0.05200969501110887)	(30, 0.11916784487982225)	(32, 0.28529589981821857)	(34, 0.5842254090082812)	(36, 1.2340941223995152)	(38, 2.454049686931933)	(40, 3.6982427792365176)	(42, 4.731367400525146)	(44, 6.133104423348819)	(46, 7.818117552009695)	(48, 9.451625934154716)	(50, 11.107352050090892)	(52, 12.884265804887901)	(54, 14.56826903655827)	(56, 16.20177741870329)	(58, 17.91153302363159)	(60, 19.659159765703897)	(62, 21.57543930519087)	(64, 23.75227226822864)	(66, 25.507978186225003)	(68, 27.252575237325793)	(70, 28.65784689961624)	(72, 30.070187840840234)	(74, 31.707735810947284)	(76, 33.23318521510806)	(78, 35.15855382750959)	(80, 36.94708139769743)	(82, 38.53918400323167)	(84, 39.61472429812159)	(86, 40.74833366996566)	(88, 42.1667339931327)	(90, 43.879519289032515)	(92, 45.81145223187235)	(94, 47.01979398101393)	(96, 48.40183801252272)	(98, 49.792466168450815)	(100, 51.02656029085033)	(102, 52.667642900424156)	(104, 53.97798424560695)	(106, 55.13987073318522)	(108, 56.28357907493435)	(110, 57.446475459503134)	(112, 58.406382548980005)	(114, 59.46576449202181)	(116, 60.506463340739245)	(118, 61.51737022823672)	(120, 62.6802666128055)	(122, 63.779539486972325)	(124, 64.9858614421329)	(126, 65.99777822662088)	(128, 66.88042819632398)	(130, 67.72318723490204)	(132, 68.56594627348011)	(134, 69.92122803474047)	(136, 70.94425368612401)	(138, 71.76529993940619)
SRR23609081_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0005049484952534841)	(34, 0.0010098969905069683)	(36, 0.0020197939810139365)	(38, 0.0020197939810139365)	(40, 0.0020197939810139365)	(42, 0.0020197939810139365)	(44, 0.0020197939810139365)	(46, 0.0020197939810139365)	(48, 0.0020197939810139365)	(50, 0.0020197939810139365)	(52, 0.0020197939810139365)	(54, 0.0020197939810139365)	(56, 0.0020197939810139365)	(58, 0.0020197939810139365)	(60, 0.0020197939810139365)	(62, 0.0020197939810139365)	(64, 0.0020197939810139365)	(66, 0.0020197939810139365)	(68, 0.0020197939810139365)	(70, 0.0020197939810139365)	(72, 0.0020197939810139365)	(74, 0.0020197939810139365)	(76, 0.0020197939810139365)	(78, 0.0020197939810139365)	(80, 0.0020197939810139365)	(82, 0.0020197939810139365)	(84, 0.0020197939810139365)	(86, 0.0020197939810139365)	(88, 0.0020197939810139365)	(90, 0.0020197939810139365)	(92, 0.0030296909715209048)	(94, 0.0030296909715209048)	(96, 0.0030296909715209048)	(98, 0.009089072914562714)	(100, 0.015148454857604524)	(102, 0.02322763078166027)	(104, 0.0383760856392648)	(106, 0.05756412845889719)	(108, 0.07523732579276914)	(110, 0.10098969905069682)	(112, 0.13532619672793375)	(114, 0.1550191880428196)	(116, 0.19894970712987275)	(118, 0.26358311452231875)	(120, 0.2938800242375278)	(122, 0.320137345990709)	(124, 0.3686124015350434)	(126, 0.4090082811553222)	(128, 0.4539486972328822)	(130, 0.5342355079781862)	(132, 0.5832155120177742)	(134, 0.6165421127045041)	(136, 0.6650171682488386)	(138, 0.699858614421329)
