Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR23609082_trimmed_R1	(35, 143.0)	(40, 189.0)	(45, 191.0)	(50, 175.0)	(55, 225.0)	(60, 266.0)	(65, 262.0)	(70, 400.0)	(75, 901.0)	(80, 1910.0)	(85, 2388.0)	(90, 3200.0)	(95, 3174.0)	(100, 3584.0)	(105, 3665.0)	(110, 3837.0)	(115, 4160.0)	(120, 4236.0)	(125, 3313.0)	(130, 3462.0)	(135, 3658.0)	(140, 3098.0)	(145, 36018.0)	(150, 118565.0)																										
SRR23609082_trimmed_R2	(35, 173.0)	(40, 232.0)	(45, 230.0)	(50, 232.0)	(55, 250.0)	(60, 266.0)	(65, 255.0)	(70, 260.0)	(75, 226.0)	(80, 222.0)	(85, 250.0)	(90, 238.0)	(95, 262.0)	(100, 311.0)	(105, 658.0)	(110, 2307.0)	(115, 4123.0)	(120, 4680.0)	(125, 5133.0)	(130, 4385.0)	(135, 5330.0)	(140, 5564.0)	(145, 30566.0)	(150, 134867.0)																										
SRR23609083_trimmed_R1	(35, 99.0)	(40, 152.0)	(45, 163.0)	(50, 142.0)	(55, 179.0)	(60, 221.0)	(65, 193.0)	(70, 274.0)	(75, 454.0)	(80, 622.0)	(85, 684.0)	(90, 688.0)	(95, 622.0)	(100, 722.0)	(105, 948.0)	(110, 1679.0)	(115, 2008.0)	(120, 2362.0)	(125, 1890.0)	(130, 2014.0)	(135, 2294.0)	(140, 1796.0)	(145, 22802.0)	(150, 96192.0)																										
SRR23609083_trimmed_R2	(35, 114.0)	(40, 188.0)	(45, 176.0)	(50, 189.0)	(55, 164.0)	(60, 198.0)	(65, 180.0)	(70, 191.0)	(75, 211.0)	(80, 173.0)	(85, 202.0)	(90, 194.0)	(95, 191.0)	(100, 268.0)	(105, 502.0)	(110, 1800.0)	(115, 3175.0)	(120, 3624.0)	(125, 3796.0)	(130, 3296.0)	(135, 3716.0)	(140, 3904.0)	(145, 20952.0)	(150, 91796.0)																										
SRR23609084_trimmed_R1	(35, 137.0)	(40, 161.0)	(45, 187.0)	(50, 183.0)	(55, 232.0)	(60, 243.0)	(65, 205.0)	(70, 268.0)	(75, 467.0)	(80, 645.0)	(85, 614.0)	(90, 734.0)	(95, 740.0)	(100, 799.0)	(105, 1136.0)	(110, 1820.0)	(115, 2293.0)	(120, 2302.0)	(125, 2211.0)	(130, 2309.0)	(135, 2184.0)	(140, 2088.0)	(145, 28455.0)	(150, 130622.0)																										
SRR23609084_trimmed_R2	(35, 131.0)	(40, 175.0)	(45, 175.0)	(50, 195.0)	(55, 184.0)	(60, 211.0)	(65, 201.0)	(70, 217.0)	(75, 148.0)	(80, 169.0)	(85, 192.0)	(90, 189.0)	(95, 196.0)	(100, 222.0)	(105, 588.0)	(110, 1880.0)	(115, 3346.0)	(120, 3376.0)	(125, 3574.0)	(130, 3887.0)	(135, 3612.0)	(140, 4223.0)	(145, 27572.0)	(150, 126372.0)																										
SRR23609085_trimmed_R1	(35, 139.0)	(40, 130.0)	(45, 123.0)	(50, 125.0)	(55, 171.0)	(60, 201.0)	(65, 125.0)	(70, 209.0)	(75, 330.0)	(80, 344.0)	(85, 401.0)	(90, 522.0)	(95, 521.0)	(100, 580.0)	(105, 808.0)	(110, 1219.0)	(115, 1508.0)	(120, 1466.0)	(125, 1559.0)	(130, 1559.0)	(135, 1577.0)	(140, 1720.0)	(145, 23153.0)	(150, 98196.0)																										
SRR23609085_trimmed_R2	(35, 131.0)	(40, 170.0)	(45, 128.0)	(50, 129.0)	(55, 166.0)	(60, 178.0)	(65, 152.0)	(70, 164.0)	(75, 144.0)	(80, 137.0)	(85, 149.0)	(90, 171.0)	(95, 149.0)	(100, 159.0)	(105, 267.0)	(110, 1020.0)	(115, 1789.0)	(120, 1780.0)	(125, 2301.0)	(130, 2459.0)	(135, 2679.0)	(140, 3383.0)	(145, 21896.0)	(150, 96985.0)																										
SRR23609086_trimmed_R1	(52, 15.0)	(54, 0.0)	(56, 0.0)	(58, 12.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 4.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 15.0)	(150, 195532.0)
SRR23609086_trimmed_R2	(72, 5.0)	(74, 4.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 1.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 6.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 7.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 195555.0)										
