Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR23609077_trimmed_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007681081496274675)	(6, 0.0007681081496274675)	(7, 0.0007681081496274675)	(8, 0.0007681081496274675)	(9, 0.0007681081496274675)	(10, 0.0007681081496274675)	(12, 0.0011521622244412013)	(14, 0.001536216299254935)	(16, 0.001536216299254935)	(18, 0.001536216299254935)	(20, 0.001536216299254935)	(22, 0.0019202703740686688)	(24, 0.0023043244488824026)	(26, 0.0023043244488824026)	(28, 0.0023043244488824026)	(30, 0.0023043244488824026)	(32, 0.0023043244488824026)	(34, 0.0023043244488824026)	(36, 0.0023043244488824026)	(38, 0.0023043244488824026)	(40, 0.0023043244488824026)	(42, 0.00307243259850987)	(44, 0.00307243259850987)	(46, 0.00307243259850987)	(48, 0.00307243259850987)	(50, 0.00307243259850987)	(52, 0.003456486673323604)	(54, 0.004224594822951072)	(56, 0.004608648897764805)	(58, 0.00614486519701974)	(60, 0.007681081496274675)	(62, 0.00806513557108841)	(64, 0.008449189645902144)	(66, 0.008449189645902144)	(68, 0.008449189645902144)	(70, 0.008449189645902144)	(72, 0.008449189645902144)	(74, 0.00921729779552961)	(76, 0.010369460019970812)	(78, 0.011905676319225747)	(80, 0.016898379291804287)	(82, 0.019202703740686687)	(84, 0.02150702818956909)	(86, 0.026883785236961364)	(88, 0.17820109071357246)	(90, 0.17896919886319995)	(92, 0.17973730701282742)	(94, 0.18434595591059222)	(96, 0.18895460480835702)	(98, 0.19279514555649435)	(100, 0.19433136185574929)	(102, 0.19740379445425915)	(104, 0.20162838927721022)	(106, 0.20508487595053382)	(108, 0.2081573085490437)	(110, 0.2116137952223673)	(112, 0.21929487671864198)	(114, 0.22467163376603425)	(116, 0.22659190414010294)	(118, 0.2807435286888394)	(120, 0.34065596435978185)	(122, 0.9559105922113833)	(124, 1.5542668407711806)	(126, 1.5631000844918965)	(128, 1.575389814885936)	(130, 1.5773100852600046)	(132, 1.5799984637837006)	(134, 1.5880635993547891)	(136, 1.5942084645518089)	(138, 1.602657654197711)
SRR23609077_trimmed_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007681081496274675)	(6, 0.0007681081496274675)	(7, 0.0007681081496274675)	(8, 0.0007681081496274675)	(9, 0.0007681081496274675)	(10, 0.0007681081496274675)	(12, 0.0011521622244412013)	(14, 0.001536216299254935)	(16, 0.001536216299254935)	(18, 0.001536216299254935)	(20, 0.001536216299254935)	(22, 0.0019202703740686688)	(24, 0.0023043244488824026)	(26, 0.0023043244488824026)	(28, 0.0023043244488824026)	(30, 0.0023043244488824026)	(32, 0.0023043244488824026)	(34, 0.0023043244488824026)	(36, 0.0023043244488824026)	(38, 0.0023043244488824026)	(40, 0.0023043244488824026)	(42, 0.00307243259850987)	(44, 0.00307243259850987)	(46, 0.00307243259850987)	(48, 0.00307243259850987)	(50, 0.00307243259850987)	(52, 0.003456486673323604)	(54, 0.004224594822951072)	(56, 0.004608648897764805)	(58, 0.00614486519701974)	(60, 0.007681081496274675)	(62, 0.00806513557108841)	(64, 0.008449189645902144)	(66, 0.008449189645902144)	(68, 0.008449189645902144)	(70, 0.008449189645902144)	(72, 0.008449189645902144)	(74, 0.00921729779552961)	(76, 0.010369460019970812)	(78, 0.011905676319225747)	(80, 0.016898379291804287)	(82, 0.019202703740686687)	(84, 0.02150702818956909)	(86, 0.026883785236961364)	(88, 0.17896919886319995)	(90, 0.17973730701282742)	(92, 0.18050541516245489)	(94, 0.18511406406021969)	(96, 0.18972271295798449)	(98, 0.19356325370612182)	(100, 0.19509947000537675)	(102, 0.19817190260388662)	(104, 0.20239649742683768)	(106, 0.2058529841001613)	(108, 0.20892541669867118)	(110, 0.2127659574468085)	(112, 0.2208310930178969)	(114, 0.2262078500652892)	(116, 0.22812812043935787)	(118, 0.28151163683846686)	(120, 0.34065596435978185)	(122, 0.9628235655580306)	(124, 1.568092787464475)	(126, 1.5769260311851907)	(128, 1.5884476534296028)	(130, 1.5903679238036714)	(132, 1.5930563023273678)	(134, 1.6011214378984562)	(136, 1.607266303095476)	(138, 1.615715492741378)
SRR23609078_trimmed_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0003766478342749529)	(52, 0.0007532956685499058)	(54, 0.0007532956685499058)	(56, 0.0007532956685499058)	(58, 0.0026365348399246705)	(60, 0.003766478342749529)	(62, 0.003766478342749529)	(64, 0.003766478342749529)	(66, 0.003766478342749529)	(68, 0.003766478342749529)	(70, 0.003766478342749529)	(72, 0.004143126177024482)	(74, 0.005273069679849341)	(76, 0.007156308851224105)	(78, 0.009792843691148776)	(80, 0.013559322033898305)	(82, 0.013559322033898305)	(84, 0.015065913370998116)	(86, 0.01544256120527307)	(88, 0.05499058380414312)	(90, 0.05499058380414312)	(92, 0.055743879472693034)	(94, 0.0647834274952919)	(96, 0.06779661016949153)	(98, 0.07005649717514124)	(100, 0.07043314500941619)	(102, 0.07193973634651601)	(104, 0.07419962335216573)	(106, 0.07758945386064031)	(108, 0.07909604519774012)	(110, 0.07984934086629003)	(112, 0.08248587570621468)	(114, 0.08549905838041431)	(116, 0.08813559322033898)	(118, 0.10998116760828625)	(120, 0.1337099811676083)	(122, 0.43578154425612053)	(124, 0.7337099811676082)	(126, 0.7344632768361582)	(128, 0.7389830508474576)	(130, 0.7389830508474576)	(132, 0.7427495291902072)	(134, 0.752165725047081)	(136, 0.7581920903954802)	(138, 0.7679849340866289)
SRR23609078_trimmed_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0003766478342749529)	(52, 0.0007532956685499058)	(54, 0.0007532956685499058)	(56, 0.0007532956685499058)	(58, 0.0026365348399246705)	(60, 0.003766478342749529)	(62, 0.003766478342749529)	(64, 0.003766478342749529)	(66, 0.003766478342749529)	(68, 0.003766478342749529)	(70, 0.003766478342749529)	(72, 0.004143126177024482)	(74, 0.005273069679849341)	(76, 0.007156308851224105)	(78, 0.009792843691148776)	(80, 0.013559322033898305)	(82, 0.013559322033898305)	(84, 0.015065913370998116)	(86, 0.01544256120527307)	(88, 0.055743879472693034)	(90, 0.055743879472693034)	(92, 0.05649717514124294)	(94, 0.06516007532956686)	(96, 0.06779661016949153)	(98, 0.07005649717514124)	(100, 0.07043314500941619)	(102, 0.07193973634651601)	(104, 0.07419962335216573)	(106, 0.07758945386064031)	(108, 0.07909604519774012)	(110, 0.08060263653483993)	(112, 0.0832391713747646)	(114, 0.08625235404896422)	(116, 0.08851224105461394)	(118, 0.1111111111111111)	(120, 0.13634651600753295)	(122, 0.4421845574387947)	(124, 0.7427495291902071)	(126, 0.7435028248587571)	(128, 0.7487758945386064)	(130, 0.7487758945386064)	(132, 0.752542372881356)	(134, 0.7619585687382298)	(136, 0.7676082862523541)	(138, 0.7770244821092278)
SRR23609079_trimmed_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006588483331137172)	(36, 0.002635393332454869)	(38, 0.002635393332454869)	(40, 0.002635393332454869)	(42, 0.002635393332454869)	(44, 0.002635393332454869)	(46, 0.003953089998682303)	(48, 0.003953089998682303)	(50, 0.003953089998682303)	(52, 0.003953089998682303)	(54, 0.004611938331796021)	(56, 0.005270786664909738)	(58, 0.00724733166425089)	(60, 0.012518118329160628)	(62, 0.013176966662274345)	(64, 0.01449466332850178)	(66, 0.01449466332850178)	(68, 0.01449466332850178)	(70, 0.01449466332850178)	(72, 0.01449466332850178)	(74, 0.015812359994729214)	(76, 0.018447753327184083)	(78, 0.019765449993411517)	(80, 0.022400843325866386)	(82, 0.029648174990117276)	(84, 0.03162471998945843)	(86, 0.0382132033205956)	(88, 0.21676110159441297)	(90, 0.2174199499275267)	(92, 0.221373039926209)	(94, 0.23059691658980103)	(96, 0.2411384899196205)	(98, 0.25036236658321254)	(100, 0.25036236658321254)	(102, 0.26156278824614576)	(104, 0.2688101199103966)	(106, 0.2721043615759652)	(108, 0.2753986032415338)	(110, 0.27671629990776125)	(112, 0.2872578732375807)	(114, 0.2951640532349453)	(116, 0.2991171432336276)	(118, 0.3505073132164976)	(120, 0.39992093820002633)	(122, 1.0126498879957835)	(124, 1.6201080511266306)	(126, 1.6260376861246542)	(128, 1.639873501120042)	(130, 1.6431677427856108)	(132, 1.6490973777836342)	(134, 1.6550270127816578)	(136, 1.6642508894452497)	(138, 1.6721570694426142)
SRR23609079_trimmed_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006588483331137172)	(36, 0.002635393332454869)	(38, 0.002635393332454869)	(40, 0.002635393332454869)	(42, 0.002635393332454869)	(44, 0.002635393332454869)	(46, 0.003953089998682303)	(48, 0.003953089998682303)	(50, 0.003953089998682303)	(52, 0.003953089998682303)	(54, 0.004611938331796021)	(56, 0.005270786664909738)	(58, 0.00724733166425089)	(60, 0.012518118329160628)	(62, 0.013176966662274345)	(64, 0.01449466332850178)	(66, 0.01449466332850178)	(68, 0.01449466332850178)	(70, 0.01449466332850178)	(72, 0.01449466332850178)	(74, 0.015812359994729214)	(76, 0.018447753327184083)	(78, 0.019765449993411517)	(80, 0.022400843325866386)	(82, 0.029648174990117276)	(84, 0.03162471998945843)	(86, 0.0382132033205956)	(88, 0.21544340492818553)	(90, 0.21610225326129925)	(92, 0.22005534325998155)	(94, 0.22927921992357359)	(96, 0.2404796415865068)	(98, 0.25036236658321254)	(100, 0.25036236658321254)	(102, 0.26156278824614576)	(104, 0.2688101199103966)	(106, 0.2721043615759652)	(108, 0.2753986032415338)	(110, 0.27671629990776125)	(112, 0.2872578732375807)	(114, 0.2951640532349453)	(116, 0.2991171432336276)	(118, 0.34853076821715645)	(120, 0.3972855448675715)	(122, 1.0179206746606932)	(124, 1.6319673211226775)	(126, 1.6378969561207009)	(128, 1.6504150744498616)	(130, 1.6537093161154304)	(132, 1.6602977994465675)	(134, 1.6675451311108183)	(136, 1.6780867044406378)	(138, 1.6866517327711161)
SRR23609080_trimmed_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0006894554680713172)	(44, 0.0006894554680713172)	(46, 0.0006894554680713172)	(48, 0.0010341832021069758)	(50, 0.0013789109361426344)	(52, 0.0013789109361426344)	(54, 0.0013789109361426344)	(56, 0.0013789109361426344)	(58, 0.001723638670178293)	(60, 0.0024130941382496103)	(62, 0.002757821872285269)	(64, 0.002757821872285269)	(66, 0.0034472773403565866)	(68, 0.003792005074392245)	(70, 0.0044814605424635615)	(72, 0.00517091601053488)	(74, 0.005515643744570538)	(76, 0.005860371478606197)	(78, 0.006205099212641856)	(80, 0.009307648818962783)	(82, 0.011720742957212394)	(84, 0.011720742957212394)	(86, 0.011720742957212394)	(88, 0.05101970463727748)	(90, 0.051709160105348796)	(92, 0.05239861557342011)	(94, 0.0558458929137767)	(96, 0.05756953158395499)	(98, 0.05929317025413328)	(100, 0.05929317025413328)	(102, 0.06136153665834724)	(104, 0.06446408626466817)	(106, 0.06549826946677514)	(108, 0.06618772493484645)	(110, 0.06653245266888211)	(112, 0.06791136360502475)	(114, 0.06860081907309606)	(116, 0.06929027454116739)	(118, 0.0892844831152356)	(120, 0.10789978075316115)	(122, 0.2781952813667765)	(124, 0.4450435046400353)	(126, 0.4460776878421423)	(128, 0.4491802374484632)	(130, 0.45021442065057016)	(132, 0.4512486038526772)	(134, 0.45366169799092676)	(136, 0.45435115345899807)	(138, 0.45573006439514074)
SRR23609080_trimmed_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0006894554680713172)	(44, 0.0006894554680713172)	(46, 0.0006894554680713172)	(48, 0.0010341832021069758)	(50, 0.0013789109361426344)	(52, 0.0013789109361426344)	(54, 0.0013789109361426344)	(56, 0.0013789109361426344)	(58, 0.001723638670178293)	(60, 0.0024130941382496103)	(62, 0.002757821872285269)	(64, 0.002757821872285269)	(66, 0.0034472773403565866)	(68, 0.003792005074392245)	(70, 0.0044814605424635615)	(72, 0.00517091601053488)	(74, 0.005515643744570538)	(76, 0.005860371478606197)	(78, 0.006205099212641856)	(80, 0.009307648818962783)	(82, 0.011720742957212394)	(84, 0.011720742957212394)	(86, 0.011720742957212394)	(88, 0.05101970463727748)	(90, 0.051709160105348796)	(92, 0.05239861557342011)	(94, 0.0558458929137767)	(96, 0.05791425931799065)	(98, 0.0599826257222046)	(100, 0.0599826257222046)	(102, 0.062050992126418555)	(104, 0.06515354173273949)	(106, 0.06618772493484645)	(108, 0.06687718040291778)	(110, 0.06722190813695343)	(112, 0.06860081907309606)	(114, 0.06929027454116739)	(116, 0.06997973000923871)	(118, 0.09031866631734256)	(120, 0.10927869168930379)	(122, 0.2840556528453827)	(124, 0.4546958811930337)	(126, 0.45573006439514074)	(128, 0.45883261400146164)	(130, 0.4598667972035686)	(132, 0.4609009804056756)	(134, 0.4633140745439252)	(136, 0.4640035300119965)	(138, 0.4653824409481392)
SRR23609081_trimmed_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0005006408202499199)	(16, 0.0010012816404998397)	(18, 0.0030038449214995194)	(20, 0.0030038449214995194)	(22, 0.005006408202499198)	(24, 0.006508330663248959)	(26, 0.011014098045498237)	(28, 0.053067926946491505)	(30, 0.12115507850048061)	(32, 0.28586590836270426)	(34, 0.5822452739506568)	(36, 1.230575136174303)	(38, 2.453640660044857)	(40, 3.704742069849407)	(42, 4.740067286126242)	(44, 6.153376321691765)	(46, 7.842037808394744)	(48, 9.479633931432232)	(50, 11.13525312399872)	(52, 12.927046619673181)	(54, 14.62522028196091)	(56, 16.265820249919898)	(58, 17.974006728612625)	(60, 19.725248317846845)	(62, 21.640700096123037)	(64, 23.82399471323294)	(66, 25.587752322973405)	(68, 27.34199775712913)	(70, 28.751802306952897)	(72, 30.171119032361425)	(74, 31.82073053508491)	(76, 33.35469400833067)	(78, 35.295678468439604)	(80, 37.09598285805831)	(82, 38.69252643383531)	(84, 39.76990547901313)	(86, 40.91036526754246)	(88, 42.340696090996474)	(90, 44.06640499839795)	(92, 46.011394585068885)	(94, 47.2249479333547)	(96, 48.616729413649466)	(98, 50.018023069528994)	(100, 51.259612303748796)	(102, 52.915732137135535)	(104, 54.236422620954826)	(106, 55.404417654597886)	(108, 56.557894104453695)	(110, 57.731896827939764)	(112, 58.69462912528036)	(114, 59.76249599487344)	(116, 60.81233979493752)	(118, 61.83464834988786)	(120, 63.01215555911567)	(122, 64.1175704902275)	(124, 65.33312640179429)	(126, 66.35843880166613)	(128, 67.25608779237425)	(130, 68.10267141941685)	(132, 68.95025632809997)	(134, 70.3155038449215)	(136, 71.34432073053509)	(138, 72.18189282281321)
SRR23609081_trimmed_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0005006408202499199)	(34, 0.0010012816404998397)	(36, 0.0020025632809996794)	(38, 0.0020025632809996794)	(40, 0.0020025632809996794)	(42, 0.0020025632809996794)	(44, 0.0020025632809996794)	(46, 0.0020025632809996794)	(48, 0.0020025632809996794)	(50, 0.0020025632809996794)	(52, 0.0020025632809996794)	(54, 0.0020025632809996794)	(56, 0.0020025632809996794)	(58, 0.0020025632809996794)	(60, 0.0020025632809996794)	(62, 0.0020025632809996794)	(64, 0.0020025632809996794)	(66, 0.0020025632809996794)	(68, 0.0020025632809996794)	(70, 0.0020025632809996794)	(72, 0.0020025632809996794)	(74, 0.0020025632809996794)	(76, 0.0020025632809996794)	(78, 0.0020025632809996794)	(80, 0.0020025632809996794)	(82, 0.0020025632809996794)	(84, 0.0020025632809996794)	(86, 0.0020025632809996794)	(88, 0.0020025632809996794)	(90, 0.0020025632809996794)	(92, 0.00400512656199936)	(94, 0.006508330663248959)	(96, 0.008510893944248638)	(98, 0.025032041012495995)	(100, 0.06358138417173984)	(102, 0.11664931111823133)	(104, 0.22528836911246394)	(106, 0.34944729253444407)	(108, 0.46960108939442485)	(110, 0.6142862864466517)	(112, 0.7890099327138738)	(114, 0.8956464274271068)	(116, 1.0703700736943287)	(118, 1.2996635693687921)	(120, 1.4573654277475168)	(122, 1.6050544697212432)	(124, 1.7657601730214676)	(126, 1.9084428067926946)	(128, 2.12321771867991)	(130, 2.407581704581865)	(132, 2.5988264979173343)	(134, 2.7780559115668053)	(136, 2.9462712271707785)	(138, 3.1019705222685037)
