Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_trimmed_R1	(1, 0.0)	(2, 0.0007681081496274675)	(3, 0.026115677087333897)	(4, 0.0)	(5, 0.001536216299254935)	(6, 0.0875643290575313)	(7, 0.0)	(8, 0.01613027114217682)	(9, 0.0)	(10, 0.004608648897764805)	(15, 0.0047622705276902984)	(20, 0.00046086488977648053)	(25, 0.008295568015976649)	(30, 0.003840540748137338)	(35, 0.010292649205008065)	(40, 0.009524541055380597)	(45, 0.005530378677317766)	(50, 0.005069568303215489)	(55, 0.010446976982851595)	(60, 0.015210644378207296)	(65, 0.007374857880342931)	(70, 0.009218572350428663)	(75, 0.01259871554558584)	(80, 0.01121592969302154)	(85, 0.01398150139815014)	(90, 0.01121592969302154)	(95, 0.0032265003226500323)	(100, 0.011676858310542973)	(105, 0.0033801431951571764)	(110, 0.0032265003226500323)	(115, 0.01812985895584304)	(120, 0.0035337860676643213)	(125, 0.01859078757336447)	(130, 0.007067572135328643)	(135, 0.003994714685185754)	(140, 0.001536428725071444)	(145, 0.004302000430200043)	(150, 0.0)
SRR23609077_trimmed_R2	(1, 0.0)	(2, 0.00921729779552961)	(3, 0.007681081496274676)	(4, 0.005376757047392273)	(5, 0.0)	(6, 0.0023043244488824026)	(7, 0.007681081496274676)	(8, 0.010753514094784545)	(9, 0.007681081496274676)	(10, 0.011828865504263)	(15, 0.005991243567094247)	(20, 0.0047622705276902984)	(25, 0.011675243874337507)	(30, 0.007066594976572702)	(35, 0.012904216913741455)	(40, 0.011828865504263)	(45, 0.00783470312620017)	(50, 0.013211460173592442)	(55, 0.005530378677317766)	(60, 0.011060757354635532)	(65, 0.011214378984561027)	(70, 0.005837675744764527)	(75, 0.009524906863309906)	(80, 0.0018435303606406266)	(85, 0.009217651803203135)	(90, 0.015823635595498712)	(95, 0.005069708491761723)	(100, 0.011982947344164075)	(105, 0.007835004032722664)	(110, 0.006298728732188808)	(115, 0.005684218611975266)	(120, 0.0044553352639786145)	(125, 0.02196958058073437)	(130, 0.01367337532647104)	(135, 0.015516976494085111)	(140, 0.008450150259035515)	(145, 0.01290600129060013)	(150, 0.0)
SRR23609078_trimmed_R1	(1, 0.0)	(2, 0.0015065913370998117)	(3, 0.024105461393596987)	(4, 0.0)	(5, 0.0015065913370998117)	(6, 0.0775894538606403)	(7, 0.0)	(8, 0.012806026365348399)	(9, 0.0)	(10, 0.003766478342749529)	(15, 0.003314500941619586)	(20, 0.00015065913370998117)	(25, 0.007683615819209039)	(30, 0.003314500941619586)	(35, 0.010397187636086378)	(40, 0.00829404969794579)	(45, 0.004977195395641787)	(50, 0.004676252481430753)	(55, 0.007246026761992174)	(60, 0.01087483517827933)	(65, 0.00649772579597141)	(70, 0.005747795795941149)	(75, 0.011355223175556293)	(80, 0.008486301442519705)	(85, 0.011524004045531945)	(90, 0.010621429492675007)	(95, 0.0021254307792740136)	(100, 0.011395266861956218)	(105, 0.002435890409290486)	(110, 0.0013726605669698213)	(115, 0.014964025261717749)	(120, 0.0022935990238442555)	(125, 0.013619995990518035)	(130, 0.003990876242927707)	(135, 0.0023055286577212154)	(140, 0.0007696428241581646)	(145, 0.0019003247971799179)	(150, 0.0)
SRR23609078_trimmed_R2	(1, 0.0)	(2, 0.005273069679849341)	(3, 0.006026365348399247)	(4, 0.006026365348399247)	(5, 0.0)	(6, 0.0030131826741996233)	(7, 0.006026365348399247)	(8, 0.007532956685499058)	(9, 0.015065913370998116)	(10, 0.010094161958568739)	(15, 0.004067796610169492)	(20, 0.003766478342749529)	(25, 0.013258003766478343)	(30, 0.005875706214689265)	(35, 0.01130224462578268)	(40, 0.01131499901182342)	(45, 0.0072443644881252794)	(50, 0.010870599105893223)	(55, 0.00498509757950853)	(60, 0.008614488057599188)	(65, 0.009980432303937432)	(70, 0.0030273719837914507)	(75, 0.005756921561943719)	(80, 0.0009095953210416686)	(85, 0.007130406023524272)	(90, 0.011083798068382479)	(95, 0.0028866781323496345)	(100, 0.006080274828422244)	(105, 0.003956731617937995)	(110, 0.0028939945044567515)	(115, 0.0021341756213118777)	(120, 0.0038141501920806037)	(125, 0.012211559156608667)	(130, 0.005194408372164082)	(135, 0.006423236209923594)	(140, 0.002143849220021714)	(145, 0.011400084422246801)	(150, 0.0)
SRR23609079_trimmed_R1	(1, 0.0)	(2, 0.0)	(3, 0.02503623665832125)	(4, 0.0)	(5, 0.002635393332454869)	(6, 0.07247331664250889)	(7, 0.0)	(8, 0.018447753327184083)	(9, 0.0)	(10, 0.0063249439978916855)	(15, 0.0031624719989458427)	(20, 0.0010541573329819476)	(25, 0.008960337330346554)	(30, 0.0031624719989458427)	(35, 0.010014494663328502)	(40, 0.009487415996837528)	(45, 0.005534325998155225)	(50, 0.0068522032468901544)	(55, 0.007116612281691329)	(60, 0.011334730404755316)	(65, 0.005799164393130626)	(70, 0.005799164393130626)	(75, 0.013707115838308751)	(80, 0.010017134572294716)	(85, 0.013707657835771716)	(90, 0.009753525767760644)	(95, 0.0028996968498747858)	(100, 0.011335178594965072)	(105, 0.003426914458942929)	(110, 0.0026360880453407142)	(115, 0.016607354685646503)	(120, 0.0023724792408066427)	(125, 0.014762093053908)	(130, 0.006853828917885858)	(135, 0.0023724792408066427)	(140, 0.0005272176090681429)	(145, 0.003426914458942929)	(150, 0.0)
SRR23609079_trimmed_R2	(1, 0.0)	(2, 0.007906179997364607)	(3, 0.007906179997364607)	(4, 0.005270786664909738)	(5, 0.0)	(6, 0.005270786664909738)	(7, 0.009223876663592041)	(8, 0.01185926999604691)	(9, 0.01185926999604691)	(10, 0.013440505995519832)	(15, 0.005007247331664251)	(20, 0.00421662933192779)	(25, 0.017657135327447622)	(30, 0.007379101330873633)	(35, 0.010805112663064963)	(40, 0.015021741994992753)	(45, 0.008696797997101068)	(50, 0.012913427329028858)	(55, 0.00764264066411912)	(60, 0.010278033996573989)	(65, 0.01185926999604691)	(70, 0.0068520587801227046)	(75, 0.010805255043550448)	(80, 0.0028989708653428033)	(85, 0.01133234065543096)	(90, 0.017657367997997078)	(95, 0.004743770506924587)	(100, 0.012650054685132231)	(105, 0.0071156557603868804)	(110, 0.006325027342566116)	(115, 0.005007313312864842)	(120, 0.005007471674841144)	(125, 0.022138470864191025)	(130, 0.011596341881242917)	(135, 0.016340299923569564)	(140, 0.006852546379878815)	(145, 0.0155502549978256)	(150, 0.0)
SRR23609080_trimmed_R1	(1, 0.0)	(2, 0.0013789109361426347)	(3, 0.016546931233711613)	(4, 0.0)	(5, 0.0027578218722852693)	(6, 0.07790846789205885)	(7, 0.0)	(8, 0.013099653893355026)	(9, 0.0)	(10, 0.005515643744570539)	(15, 0.004550406089270694)	(20, 0.0002757821872285269)	(25, 0.006618772493484646)	(30, 0.0042746239020421675)	(35, 0.011033250078267118)	(40, 0.010766000968940087)	(45, 0.005107795185695965)	(50, 0.006213530030681031)	(55, 0.008843822244700272)	(60, 0.013687209924471486)	(65, 0.006915753671919412)	(70, 0.00636863309750931)	(75, 0.01510379354638458)	(80, 0.010123605057364784)	(85, 0.014570078609043162)	(90, 0.011107778777477867)	(95, 0.0029174365457551297)	(100, 0.012233045069040249)	(105, 0.0023650364146047954)	(110, 0.0030626506963353996)	(115, 0.018397571520559288)	(120, 0.003070220120827117)	(125, 0.014522279830368601)	(130, 0.005743310444140002)	(135, 0.00196349580793645)	(140, 0.00028106348802599273)	(145, 0.003244422062634273)	(150, 0.0)
SRR23609080_trimmed_R2	(1, 0.0)	(2, 0.011720742957212394)	(3, 0.009652376552998441)	(4, 0.0027578218722852693)	(5, 0.0)	(6, 0.004136732808427903)	(7, 0.006894554680713173)	(8, 0.015168020297568979)	(9, 0.006205099212641855)	(10, 0.00992815874022697)	(15, 0.0042746239020421675)	(20, 0.004826188276499221)	(25, 0.011307069676369602)	(30, 0.008825029991312862)	(35, 0.012688640081207297)	(40, 0.011320134792434286)	(45, 0.006214645571857876)	(50, 0.012571943290865032)	(55, 0.006911958240713093)	(60, 0.009682349767969403)	(65, 0.0119019939991807)	(70, 0.0042946043145534445)	(75, 0.009427265871079367)	(80, 0.001942119296064989)	(85, 0.008884434332230644)	(90, 0.012780955265267338)	(95, 0.0034748428328586697)	(100, 0.005423649615546683)	(105, 0.003897604365316889)	(110, 0.0039002103327715177)	(115, 0.0025093857999433995)	(120, 0.00460341573447498)	(125, 0.015351743330016427)	(130, 0.007824824535296246)	(135, 0.009228962161255138)	(140, 0.003079106443310151)	(145, 0.00913379320811137)	(150, 0.0)
SRR23609081_trimmed_R1	(1, 0.0)	(2, 0.0010012816404998397)	(3, 0.020025632809996797)	(4, 0.0)	(5, 0.0010012816404998397)	(6, 0.07910124959948735)	(7, 0.0)	(8, 0.013016661326497916)	(9, 0.0)	(10, 0.004605895546299263)	(15, 0.005006408202499199)	(20, 0.00020025632809996796)	(25, 0.008611022108298623)	(30, 0.004405639218199295)	(35, 0.010613585389298302)	(40, 0.010012816404998398)	(45, 0.006408202499198975)	(50, 0.006408292330275377)	(55, 0.008812072539378948)	(60, 0.011616844424415403)	(65, 0.008011616844424415)	(70, 0.006809874317760753)	(75, 0.014220619898853336)	(80, 0.007210671794255498)	(85, 0.012218082762488484)	(90, 0.013019268517405761)	(95, 0.0022032608260225133)	(100, 0.01362015783359372)	(105, 0.00340503945839843)	(110, 0.003004446580939791)	(115, 0.018026679485638745)	(120, 0.0032047430196691104)	(125, 0.018427272363097387)	(130, 0.008412450426631414)	(135, 0.003004446580939791)	(140, 0.0012017786323759165)	(145, 0.00340503945839843)	(150, 0.0)
SRR23609081_trimmed_R2	(1, 0.0)	(2, 0.015019224607497597)	(3, 0.012015379685998077)	(4, 0.004005126561999359)	(5, 0.0)	(6, 0.0020025632809996794)	(7, 0.006007689842999039)	(8, 0.008010253123998718)	(9, 0.013016661326497916)	(10, 0.010012816404998398)	(15, 0.004806151874399231)	(20, 0.004806151874399231)	(25, 0.00981256007689843)	(30, 0.006608458827298943)	(35, 0.014017942966997756)	(40, 0.011014098045498237)	(45, 0.006808728790309176)	(50, 0.012215758328243433)	(55, 0.006007749997496771)	(60, 0.009211883329495048)	(65, 0.009412141662744941)	(70, 0.004806257747587359)	(75, 0.00841118687854847)	(80, 0.0022029298967626942)	(85, 0.007409855107292699)	(90, 0.012216247609320396)	(95, 0.003604794376520772)	(100, 0.00841118687854847)	(105, 0.005206925210530005)	(110, 0.005607457919032313)	(115, 0.003604794376520772)	(120, 0.006208306714383846)	(125, 0.019626299240982917)	(130, 0.011815833216510124)	(135, 0.013618248452926921)	(140, 0.0070095189267024615)	(145, 0.015621401319808137)	(150, 0.0)
